name,address,lat,lon
Motor City Casino,"2901 Grand River Ave, Detroit, MI 48201",42.3392,-83.06581
Horseshoe - Cincinnati ,"1000 Broadway St, Cincinnati, OH 45202",39.107102,-84.507691
FireKeeper's,"11177 E Michigan Ave, Battle Creek, MI 49104 ",41.795192,-86.721756
Hollywood-Columbus,"200 Georgesville Rd, Columbus, OH 43228",39.948355,-83.111052
Horseshoe - Hammond,"777 Casino Center Dr, Hammond, IN 46320",41.693246,-87.508522
Rio,"3700 W Flamingo Rd, Las Vegas, NV 89103",36.115196,-115.187116
The Golden Nugget,"129 East Fremont Street, Las Vegas, NV 89101",36.168752,-115.139526
Tripper's,"Frandor Shopping Center, 350 Frandor Ave, Lansing, MI 48912",42.736035,-84.506694
Gemini,"2625 Northland Plaza Dr, Columbus, OH 43231",40.082441,-82.949254
Nick's Shark Tank,"1508 Bethel Rd, Columbus, OH 43220",40.063965,-83.062043
Aria,"3730 South Las Vegas Boulevard, Las Vegas, NV 89109",36.109673,-115.17307
Imperial Palace,"3535 S Las Vegas Blvd, Las Vegas, NV 89109",36.116533,-115.172789
Ho-chunk Madison,"4002 Evan Acres Rd, Madison, WI 53718",43.040961,-89.272589
Hollywood-Toledo,"1968 Miami St, Toledo, OH 43605",41.619567,-83.545027
Potawatomi ,"1721 W Canal St, Milwaukee, WI 53233",43.031513,-87.935412
Hollywood,"777 Hollywood Blvd, Lawrenceburg, IN 47025",39.172746,-84.839357
Helsinki Grand Casino,"Mikaelsgatan 19, 00100 Helsingfors, Finland",60.1685,24.9447
Forrester's Hall,"1298 Woodman Dr, Dayton, OH 45432",39.745853,-84.120712
Horseshoe - Cleveland ,"100 Public Square, Cleveland, OH 44113",41.500213,-81.694473
Ocean's 11,"121 N Brooks St, Oceanside, CA 92054",33.200929,-117.368976
Greektown,"555 E Lafayette St, Detroit, MI 48226",42.334477,-83.041319
Venetian,"3355 S Las Vegas Blvd, Las Vegas, NV 89109",36.121554,-115.171751
Delaware Poker League,"61 S. Sandusky St., Delaware, OH 43015",40.297139,-83.06791
Columbus Sports Club,"14 Dillmont Dr., Columbus, OH 43235",40.13396,-83.016556
Victoria-London,"150-162 Edgware Road, London W2 2DT, United Kingdom",51.51611223,-0.164472088
